payment_id,amount_inr,failure_reason,payment_method,successful_payments,failed_payments,previous_attempts,hours_since_failure,customer_tenure_days,prior_recovery_rate,customer_value_inr,failure_hour,action,recovered,total_payment_attempts,payment_success_rate,failure_rate,retry_exhaustion,transaction_to_customer_value,time_decay,customer_activity_score,predicted_probability,expected_net_recovery,allowed,guardrail_reason,guardrail_code
pay_00000,4534,insufficient_funds,netbanking,12,1,1,4.13,285,0.98,6193,16,payment_link,1,13,0.9230769230769231,0.07692307692307693,0.3333333333333333,0.7321169061844017,0.19493177387914232,0.04195804195804196,0.6085704905472784,2747.92360414136,True,Allowed.,NONE
pay_00000,4534,insufficient_funds,netbanking,12,1,1,4.13,285,0.98,6193,16,reminder,1,13,0.9230769230769231,0.07692307692307693,0.3333333333333333,0.7321169061844017,0.19493177387914232,0.04195804195804196,0.594447616255359,2690.691492101798,True,Allowed.,NONE
pay_00000,4534,insufficient_funds,netbanking,12,1,1,4.13,285,0.98,6193,16,retry,1,13,0.9230769230769231,0.07692307692307693,0.3333333333333333,0.7321169061844017,0.19493177387914232,0.04195804195804196,0.4628456844547883,2075.87233331801,True,Allowed.,NONE
pay_00000,4534,insufficient_funds,netbanking,12,1,1,4.13,285,0.98,6193,16,escalate,1,13,0.9230769230769231,0.07692307692307693,0.3333333333333333,0.7321169061844017,0.19493177387914232,0.04195804195804196,0.44959163667718827,,True,Manual review allowed.,MANUAL_REVIEW
pay_00007,2377,insufficient_funds,wallet,13,0,2,5.72,250,0.898,2591,6,payment_link,1,13,1.0,0.0,0.6666666666666666,0.9174064067927441,0.1488095238095238,0.05179282868525897,0.5367629051249775,1269.9429254820714,True,Allowed.,NONE
pay_00007,2377,insufficient_funds,wallet,13,0,2,5.72,250,0.898,2591,6,reminder,1,13,1.0,0.0,0.6666666666666666,0.9174064067927441,0.1488095238095238,0.05179282868525897,0.44393868807442705,1052.8652615529131,True,Allowed.,NONE
pay_00007,2377,insufficient_funds,wallet,13,0,2,5.72,250,0.898,2591,6,retry,1,13,1.0,0.0,0.6666666666666666,0.9174064067927441,0.1488095238095238,0.05179282868525897,0.38373216810168254,900.2463635776994,True,Allowed.,NONE
pay_00007,2377,insufficient_funds,wallet,13,0,2,5.72,250,0.898,2591,6,escalate,1,13,1.0,0.0,0.6666666666666666,0.9174064067927441,0.1488095238095238,0.05179282868525897,0.47262008160085,,True,Manual review allowed.,MANUAL_REVIEW
pay_00014,605,technical_error,upi,9,1,0,1.8,558,0.885,2207,4,payment_link,1,10,0.9,0.1,0.0,0.27412777526053467,0.35714285714285715,0.016100178890876567,0.5849886178328556,352.40561378887764,True,Allowed.,NONE
pay_00014,605,technical_error,upi,9,1,0,1.8,558,0.885,2207,4,reminder,1,10,0.9,0.1,0.0,0.27412777526053467,0.35714285714285715,0.016100178890876567,0.6008379654239313,362.9019690814784,True,Allowed.,NONE
pay_00014,605,technical_error,upi,9,1,0,1.8,558,0.885,2207,4,retry,1,10,0.9,0.1,0.0,0.27412777526053467,0.35714285714285715,0.016100178890876567,0.6868222672052308,412.50247165916466,True,Allowed.,NONE
pay_00014,605,technical_error,upi,9,1,0,1.8,558,0.885,2207,4,escalate,1,10,0.9,0.1,0.0,0.27412777526053467,0.35714285714285715,0.016100178890876567,0.6097575651538224,,True,Manual review allowed.,MANUAL_REVIEW
pay_00017,2747,checkout_abandoned,card,8,1,0,1.93,789,0.941,2072,19,payment_link,1,9,0.8888888888888888,0.1111111111111111,0.0,1.3257722007722008,0.3412969283276451,0.010126582278481013,0.6407775579607178,1753.3484517180916,True,Allowed.,NONE
pay_00017,2747,checkout_abandoned,card,8,1,0,1.93,789,0.941,2072,19,reminder,1,9,0.8888888888888888,0.1111111111111111,0.0,1.3257722007722008,0.3412969283276451,0.010126582278481013,0.7101994115402167,1948.1707835009752,True,Allowed.,NONE
pay_00017,2747,checkout_abandoned,card,8,1,0,1.93,789,0.941,2072,19,retry,1,9,0.8888888888888888,0.1111111111111111,0.0,1.3257722007722008,0.3412969283276451,0.010126582278481013,0.48495181157526207,1318.427626397245,True,Allowed.,NONE
pay_00017,2747,checkout_abandoned,card,8,1,0,1.93,789,0.941,2072,19,escalate,1,9,0.8888888888888888,0.1111111111111111,0.0,1.3257722007722008,0.3412969283276451,0.010126582278481013,0.4350011549265991,,True,Manual review allowed.,MANUAL_REVIEW
pay_00025,30559,insufficient_funds,card,9,1,1,33.73,353,0.98,36496,21,payment_link,1,10,0.9,0.1,0.3333333333333333,0.8373246383165278,0.02879355024474518,0.025423728813559324,0.5464076903426197,16621.27510918012,True,Allowed.,NONE
